  335,  295,  112,   76,   29,   18,   13,   18,   10,    6,    3,    9,    9,    6,    8,   11,    5,   14,   17,   21,   27,   31,   20,   20,   13,   28,   16,   27,   20,   15,   19,   18,   23,   15,   11,   14,   17,   25,   22,   20,   18,   19,   19,   21,   19,   21,   30,   21,   25,   28,   30,   28,   38,   26,   27,   30,   35,   35,   44,   35,   39,   40,   24,   41,   54,   51,   62,   64,   62,   77,   66,   73,   90,  103,   64,   79,  107,  132,  121,  134, 1561
  387,  471,  211,   68,   58,   43,   21,   21,   16,   15,   10,   20,    8,   12,   13,   13,   19,   29,   37,   33,   47,   34,   46,   41,   36,   41,   38,   34,   39,   35,   26,   34,   30,   22,   34,   30,   37,   39,   39,   34,   52,   45,   52,   43,   52,   66,   46,   58,   56,   66,   55,   53,   56,   68,   59,   68,   56,   62,   72,   60,   49,   47,   53,   63,   79,   93,   95,  101,   99,  108,  126,  122,  141,  131,  133,  143,  157,  188,  164,  201, 2196
  385,  515,  234,  119,   80,   43,   41,   26,   25,   15,   26,   18,   11,    9,   11,   13,   17,   27,   41,   48,   61,   53,   35,   44,   43,   32,   34,   34,   26,   29,   28,   39,   31,   41,   28,   29,   34,   44,   49,   56,   55,   58,   56,   47,   66,   59,   48,   78,   61,   60,   63,   54,   58,   76,   67,   76,   77,   81,   86,   67,   62,   48,   36,   70,   72,   71,  111,  100,  111,  119,  116,  119,  136,  144,  126,  134,  150,  160,  183,  229, 2237
  386,  503,  223,  120,   84,   56,   36,   25,   21,   22,   16,   21,   19,   15,    8,   11,   27,   45,   34,   54,   56,   35,   38,   35,   40,   36,   33,   35,   39,   36,   34,   46,   40,   37,   44,   30,   32,   43,   33,   41,   53,   39,   59,   58,   68,   67,   59,   51,   52,   56,   64,   66,   57,   75,   69,   72,   56,   68,   71,   63,   52,   59,   44,   74,   78,   72,  109,  113,  110,  110,   90,  107,  116,  133,   98,  138,  128,  150,  160,  178, 1917
  322,  422,  194,   97,   61,   47,   31,   28,   26,   13,   26,   15,   14,    8,   13,    3,   22,   28,   27,   24,   47,   37,   31,   22,   28,   29,   34,   44,   34,   31,   26,   23,   24,   20,   26,   25,   35,   45,   33,   36,   29,   29,   40,   36,   50,   44,   47,   41,   39,   46,   50,   44,   55,   42,   57,   48,   51,   46,   52,   41,   41,   33,   31,   47,   51,   42,   90,   81,   65,   69,   91,   90,   94,   95,  106,   73,   78,  115,  108,  129, 1379
  292,  329,  151,   79,   48,   45,   27,   15,    7,   16,    8,   11,   13,    6,   14,    8,   13,   18,   20,   30,   34,   25,   34,   21,   26,   29,   26,   26,   21,   24,   25,   22,   20,   25,   26,   27,   28,   17,   23,   29,   40,   36,   22,   34,   26,   41,   34,   31,   34,   41,   45,   22,   46,   46,   36,   46,   42,   40,   44,   54,   36,   31,   25,   39,   54,   50,   45,   67,   79,   64,   71,   92,   78,   98,   74,   93,   88,   89,  103,  109, 1277
  290,  337,  168,   91,   42,   33,   20,   17,   10,   14,    9,   14,    9,    5,    4,   12,    9,   22,   19,   28,   37,   26,   27,   16,   23,   25,   24,   22,   24,   20,   30,   18,   25,   18,   15,   26,   28,   32,   31,   27,   27,   28,   35,   34,   50,   52,   43,   37,   39,   39,   42,   43,   41,   33,   40,   48,   44,   45,   40,   33,   25,   45,   31,   41,   41,   41,   65,   57,   73,   72,  100,   83,   88,  104,   76,   77,   77,  107,  101,  128, 1270
  301,  307,  146,   85,   43,   38,   13,   23,   19,   13,    7,   12,    9,    8,   14,    5,    7,   21,   25,   16,   32,   19,   20,   29,   18,   21,   23,   19,   28,   31,   26,   28,   19,   30,   19,   20,   27,   21,   24,   25,   27,   28,   27,   24,   42,   48,   44,   32,   37,   41,   45,   36,   40,   20,   35,   29,   36,   42,   36,   32,   40,   34,   38,   30,   45,   48,   59,   78,   59,   68,   64,   74,   81,   79,   71,   67,  102,  105,  106,  120, 1173
  263,  297,  139,   71,   46,   32,   24,   14,   19,   11,    8,   11,    4,    8,    4,   12,   12,   38,   15,   21,   25,   22,   17,   19,   22,   24,   15,   18,   21,   18,   20,   18,   24,   17,   20,   20,   22,   28,   22,   27,   30,   25,   37,   28,   27,   35,   34,   37,   33,   39,   38,   37,   27,   36,   31,   34,   30,   45,   44,   37,   27,   39,   23,   32,   45,   46,   51,   61,   71,   74,   68,   91,   77,   76,   65,   75,   92,   91,  112,   95, 1208
  229,  310,  128,   81,   52,   33,   22,   11,   12,   17,   12,    8,    9,    8,    5,   10,    9,   20,   15,   13,   19,   23,   22,   15,   17,   22,   24,   13,   20,   12,   15,   18,   15,   14,   10,   23,   19,   16,   13,   25,   26,   26,   26,   26,   24,   27,   27,   27,   31,   25,   32,   28,   28,   29,   40,   45,   32,   36,   33,   26,   21,   23,   30,   35,   39,   36,   47,   58,   59,   58,   63,   67,   71,   56,   58,   49,   73,   78,   74,   93,  926
